Gene ARP4 Amikacin Amp Antimycin Ascididemin_Nat_prod BZA CCCP CPZ Cap Cephalexin Cerulenin Clofazimine Clotrimazole DCCD DIPED DNP DTNB DTT Deferoxamine Dipyridyl EMB Econazole Eta GSNO GSNO_CFZ GSNO_CPZ GSNO_KCN GSNO_menadione H2O2 INH KCN Levo Min_med__succinate_ Mtm NRP_1 NaN3 Nam Nigericin Novobiocin Oflox PA_1 PA_21 PA824 PZA Palmitate Procept_6776 Procept_6778 Rif Rifp Rox SM Succinate TLM TRC TRZ Tet UV Valinomycin Verapamil ZnSO4 menadione mercaptoethanol methoxatin
Rv0012 0 0.49948416 -0.780082896 -0.134965792 -0.860902322 1.485637666 0.29842401 0.089117322 1.373010428 -0.125663938 0.175658898 0 -0.042857503 0 -0.793462436 0 0.580879778 1.680007371 -0.073290995 -0.439912072 -0.095060277 0.30796525 0.194609147 0.967034652 0 -1.108871934 2.866580353 0.564894522 -0.163629859 0.013133923 0 -0.519847098 0 -0.157436476 0.502842805 0 0.61093357 -0.497763081 -0.972558458 -0.372548206 -1.67957478 -1.254511516 0.057053793 0.384466223 0 0.325547051 -0.06186229 0.156663162 -0.867497241 0.93820317 -0.053890262 0.036802697 -0.073744827 0.047874398 0 0.995831424 0.053655657 0.078240313 -0.206501304 0 -0.092981329 -0.865526953 -1.234940049
Rv0013 -0.248985167 0.055053803 0.397549166 0.68878518 0.106628645 -0.691502889 -1.575623992 -0.317385134 1.528108517 0.333989028 1.351562368 -0.785557278 -0.188403521 -1.636461566 0.53914129 -1.669162124 0.956367994 -1.569431901 0.970394636 0.12718982 0.68923398 -0.004289183 0.857679366 1.004118007 0.962771169 -0.433192828 -2.149591952 0.550629213 0.14887597 1.266565824 -0.68955445 -0.462322628 1.553736191 0.412972329 0.589599384 -0.397510275 -0.463336863 1.955655082 -2.000128673 -0.180526663 -0.522836644 -0.178791761 -1.247641743 -0.76145532 0.310558595 -0.385167118 0.042018991 0.259980201 -0.194768732 0.821747122 1.106229512 0.450033511 0.253144447 -1.013151276 -1.408110771 0.98200784 0.708869771 -0.03257084 1.170450317 1.621788207 0.599654032 0.483999047 1.02885003
Rv0014c -1.130422753 -1.088723493 0.387290575 0.305962118 -0.467900318 -0.028975198 -0.695804322 0.373533607 -2.250742733 0.447244615 0.343091837 0.110749326 0.457195816 0.539030339 -0.119655386 1.037550935 0.499087055 -0.098117434 0.401981196 0.176674001 0.002538138 0.487379718 0.587467894 0.52035532 0.375245487 -0.139414725 1.081149877 -1.087245468 -0.460911612 -0.002301569 2.708026324 -1.042552878 -0.327295849 0.210448697 -1.316791674 1.146238981 0.450255884 0.189694906 -0.289698538 -0.553226146 0.905112742 0.695229615 1.663712728 -0.01733219 -0.024288382 0.638622197 0.744031903 0.188041365 -0.536261028 -2.590405091 -1.138037285 0.541948132 0.119640516 -0.049869083 -0.499491485 -0.443580667 -0.099842877 -2.763767133 0.279728203 0.620845252 -1.1346089 0.159645138 0.441468139
Rv0015c 0.241340611 -0.017733454 -0.43132372 0.229401615 -0.072279543 -0.064893851 1.123904517 -0.188543871 -1.254055817 -0.070873977 0.161705899 -0.12094098 0.01345852 2.705563016 -0.348850492 1.452912141 -0.092566423 0.948837288 0.090185786 -0.073308531 -0.19542818 -0.198429884 -0.501376946 -0.208864253 -0.275998222 -0.198603175 1.051912186 -0.343463175 -0.662190341 -0.545415068 3.831001249 -0.201168804 0.226276276 -1.107096088 -0.878040695 -0.055443212 -0.39757685 -0.366835799 -0.274113203 -0.132594499 0.367447707 0.373232112 3.229106211 -0.173971598 -0.732001247 1.404620896 0.977642128 0.868140241 0.310306801 -0.93408275 -0.570028876 -0.434999958 0.274322356 0.541089855 0.318601407 -1.774588785 -1.054354317 -0.56041642 -0.091872475 -0.496341066 -0.355176327 0.032478479 -0.180630065
Rv0016c -0.153014548 -1.292749684 0.218171924 0.296988122 -0.384109245 -0.120225763 -2.512768009 -0.190037554 -1.951415602 0.058901884 0.427477465 0.731762005 0.799608979 2.172777559 0.092589278 0.142607999 0.940196563 -0.540235205 0.36124598 -0.474469637 0.308488343 0.575151054 0.17920253 1.074167409 0.245044917 -0.502251409 0.448233175 -0.868153699 0.064732845 -0.143101048 1.576836015 -0.431039341 -0.807866386 0.22234252 -1.548389097 0.516912877 0.24152885 0.834006479 0.346133491 -0.660918201 0.083395588 0.168158116 0.039509028 1.263532806 0.041545916 -0.281703208 -0.063138596 -0.31319144 -0.272903425 -2.004529811 -0.348045805 0.840014548 0.119727077 -0.175457348 -0.897459631 -1.705364184 -0.078351907 -1.558756235 1.368818969 1.203227426 -0.557958052 0.710984355 1.262416917
Rv0017c 0 -0.986600587 0.441280794 0.343643132 0.327179735 -0.370453978 0.839461182 0.480004645 -1.930847745 -0.313773003 -0.41933923 0 -1.25169135 0 0.464130198 0 -0.587136821 -0.47292606 -0.348548473 0.33329705 0.206435828 -0.724419519 -0.82573835 0 0 1.726529126 0.982675247 0.378488344 -0.603940814 -0.339834729 0 -0.783944215 0 -0.318329821 0.432344084 0 0.211410909 0.233759425 0 0.094678055 1.110846796 1.159619209 -1.192019361 -0.337279651 0 0.366769229 0.407214305 0.516043391 0.276660248 -2.174586041 -0.348606802 0 0.307652541 0.180670429 0 -2.184027942 -1.120361733 0.414589549 -1.197475435 0 0.585857074 0.752192425 3.079962338
Rv0018c 0 -2.772635752 0.273074017 -0.011275164 0.043650588 -0.167783031 0.176377991 0.888780426 -3.161742425 0.942495219 0.125214618 0 0.456538823 0 -0.225210972 0 -0.044008572 1.003307323 -0.040096685 -0.005696851 -0.038811063 0.439718089 0.199465754 1.806862427 0 0.557020603 1.035293941 0.659668295 0.037791944 0.467586327 0 -0.339343481 0 0.363357709 1.014150345 0 0.027531003 -1.539013639 1.520482629 0.182664656 0.738140773 0.552783197 -0.104013025 -0.199063815 2.020026798 0.579588207 0.495996701 -0.118471399 -0.147637038 -3.361975475 -0.249088752 0 0.155562739 -0.681527417 0 -2.767842407 -0.015090796 0.758911364 -1.355451491 0 1.377675513 0 3.244176629
Rv0019c 1.263714286 0.50995277 -0.747849824 -0.528331826 -0.560835665 0.229979896 0.613374655 -0.449863052 -0.197872182 0.18828042 -0.12817421 1.231077396 0.102724641 2.194193754 -1.700136316 1.365912612 0.056343573 1.662462113 -0.742387184 -0.672482964 -0.603653299 0.691150063 0.11207939 -0.301751083 -1.393458161 -0.942209996 0.454791768 0.259562578 0.235927031 0.354380435 0.099538349 -0.429407736 2.194303618 -0.184571014 -0.933176895 -1.056740235 -0.094555129 0.052645915 -1.0161406 -0.107221956 -0.019575113 -0.4653588 -0.0582004 -0.019419801 0.793710159 0.502953947 0.556397012 0.38251509 -0.123881058 0.254297091 0.090991289 1.914191889 0.042209027 0.504155943 1.522724108 0.440015667 0.33848525 0.242645684 0.314750653 -0.180456095 -0.410306713 -0.572532108 -0.177398511
Rv0020c -1.825396907 0.931342283 0.195272582 -0.323856689 -0.546316573 0.305310327 -1.123254629 -0.20591495 1.953263548 -0.302296679 1.283789605 0.006434464 -0.434374073 1.129066376 0.192890497 0.069153814 0.044989663 0.743829024 0.466792533 -0.574054836 0.475975221 -0.572552317 0.896211537 0.273506272 -0.371246163 -0.057377555 0.156186881 0.498889622 -0.560282412 1.163248028 1.84205302 -0.239101718 -1.412643446 0.443065826 -0.701151232 0.020565037 0.453498059 2.253392552 0.268216059 0.26025829 -0.320630277 0.32983915 0.090622489 -0.133082259 -0.798467288 1.236646893 -0.292978029 -1.259783285 -1.275602864 1.016637516 0.4811425 -0.233150835 0.594692896 0.355928332 0.154146538 2.346522368 0.168368636 0.541706058 -0.641578861 -0.03225198 -0.446685952 -0.605413927 -0.420074036
Rv0021c -0.213593701 0.209729776 0.006944114 0.245321979 0.039398049 -0.343639586 -1.866997981 -0.117915379 0.507067113 0.249085569 0.6319625 -0.534433761 0.692043393 -2.023659909 0.532762261 -0.363098882 0.603057894 -0.458652095 0.654693981 -0.329454661 0.098525624 0.414507242 0.252020877 1.144439471 1.194290585 0.173115116 -0.320500724 -0.112588347 -0.553002439 0.508194678 -1.730371228 -0.024258813 1.005184025 0.057105962 0.83560843 -0.425444751 -0.410057033 1.220563753 0.257888001 0.274018003 0.306160347 0.309033512 -0.960456327 -0.529302114 1.185859861 -0.907015952 -0.075124474 0.529233429 0.068762837 1.28467343 -0.341383706 1.078679663 0.027321891 -0.832893429 -1.322561074 -0.381884715 0.023878659 -1.230826958 0.434465233 1.783112064 -0.398157474 0.005237674 0.998757846
